FlightNumber,Date,BoosterVersion,PayloadMass,Orbit,LaunchSite,Outcome,Flights,GridFins,Reused,Legs,LandingPad,Block,ReusedCount,Serial,Longitude,Latitude
1,2010-06-04,Falcon 9,,,Unknown Pad,None None,1,False,False,False,,,,,,
2,2012-05-22,Falcon 9,,,Unknown Pad,None None,1,False,False,False,,,,,,
3,2013-03-01,Falcon 9,,,Unknown Pad,None None,1,False,False,False,,,,,,
4,2013-09-29,Falcon 9,,,Unknown Pad,False Ocean,1,False,False,False,,,,,,
5,2013-12-03,Falcon 9,,,Unknown Pad,None None,1,False,False,False,,,,,,
6,2014-01-06,Falcon 9,,,Unknown Pad,None None,1,False,False,False,,,,,,
7,2014-04-18,Falcon 9,,,Unknown Pad,True Ocean,1,False,False,True,,,,,,
8,2014-07-14,Falcon 9,,,Unknown Pad,True Ocean,1,False,False,True,,,,,,
9,2014-08-05,Falcon 9,,,Unknown Pad,None None,1,False,False,False,,,,,,
10,2014-09-07,Falcon 9,,,Unknown Pad,None None,1,False,False,False,,,,,,
11,2014-09-21,Falcon 9,,,Unknown Pad,False Ocean,1,False,False,False,,,,,,
12,2015-01-10,Falcon 9,,,Unknown Pad,False ASDS,1,True,False,True,5e9e3032383ecb761634e7cb,,,,,
13,2015-02-11,Falcon 9,,,Unknown Pad,True Ocean,1,True,False,True,,,,,,
14,2015-04-14,Falcon 9,,,Unknown Pad,False ASDS,1,True,False,True,5e9e3032383ecb761634e7cb,,,,,
15,2015-04-27,Falcon 9,,,Unknown Pad,None None,1,False,False,False,,,,,,
16,2015-06-28,Falcon 9,,,Unknown Pad,None ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,,,,,
17,2015-12-22,Falcon 9,,,Unknown Pad,True RTLS,1,True,False,True,5e9e3032383ecb267a34e7c7,,,,,
18,2016-01-17,Falcon 9,,,Unknown Pad,False ASDS,1,True,False,True,5e9e3033383ecbb9e534e7cc,,,,,
19,2016-03-04,Falcon 9,,,Unknown Pad,False ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,,,,,
20,2016-04-08,Falcon 9,,,Unknown Pad,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,,,,,
21,2016-05-06,Falcon 9,,,Unknown Pad,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,,,,,
22,2016-05-27,Falcon 9,,,Unknown Pad,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,,,,,
23,2016-07-18,Falcon 9,,,Unknown Pad,True RTLS,1,True,False,True,5e9e3032383ecb267a34e7c7,,,,,
24,2016-08-14,Falcon 9,,,Unknown Pad,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,,,,,
25,2016-09-01,Falcon 9,,,Unknown Pad,None ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,,,,,
26,2017-01-14,Falcon 9,,,Unknown Pad,True ASDS,1,True,False,True,5e9e3033383ecbb9e534e7cc,,,,,
27,2017-02-19,Falcon 9,,,Unknown Pad,True RTLS,1,True,False,True,5e9e3032383ecb267a34e7c7,,,,,
28,2017-03-16,Falcon 9,,,Unknown Pad,None None,1,False,False,False,,,,,,
29,2017-03-30,Falcon 9,,,Unknown Pad,True ASDS,2,True,True,True,5e9e3032383ecb6bb234e7ca,,,,,
30,2017-05-01,Falcon 9,,,Unknown Pad,True RTLS,1,True,False,True,5e9e3032383ecb267a34e7c7,,,,,
31,2017-05-15,Falcon 9,,,Unknown Pad,None None,1,False,False,False,,,,,,
32,2017-06-03,Falcon 9,,,Unknown Pad,True RTLS,1,True,False,True,5e9e3032383ecb267a34e7c7,,,,,
33,2017-06-23,Falcon 9,,,Unknown Pad,True ASDS,2,True,True,True,5e9e3032383ecb6bb234e7ca,,,,,
34,2017-06-25,Falcon 9,,,Unknown Pad,True ASDS,1,True,False,True,5e9e3033383ecbb9e534e7cc,,,,,
35,2017-07-05,Falcon 9,,,Unknown Pad,None None,1,False,False,False,,,,,,
36,2017-08-14,Falcon 9,,,Unknown Pad,True RTLS,1,True,False,True,5e9e3032383ecb267a34e7c7,,,,,
37,2017-08-24,Falcon 9,,,Unknown Pad,True ASDS,1,True,False,True,5e9e3033383ecbb9e534e7cc,,,,,
38,2017-09-07,Falcon 9,,,Unknown Pad,True RTLS,1,True,False,True,5e9e3032383ecb267a34e7c7,,,,,
39,2017-10-09,Falcon 9,,,Unknown Pad,True ASDS,1,True,False,True,5e9e3033383ecbb9e534e7cc,,,,,
40,2017-10-11,Falcon 9,,,Unknown Pad,True ASDS,2,True,True,True,5e9e3032383ecb6bb234e7ca,,,,,
41,2017-10-30,Falcon 9,,,Unknown Pad,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,,,,,
42,2017-12-15,Falcon 9,,,Unknown Pad,True RTLS,2,True,True,True,5e9e3032383ecb267a34e7c7,,,,,
43,2017-12-23,Falcon 9,,,Unknown Pad,True Ocean,2,True,True,False,,,,,,
44,2018-01-08,Falcon 9,,,Unknown Pad,True RTLS,1,True,False,True,5e9e3032383ecb267a34e7c7,,,,,
45,2018-01-31,Falcon 9,,,Unknown Pad,True Ocean,2,True,True,True,,,,,,
46,2018-03-06,Falcon 9,,,Unknown Pad,None None,1,True,False,True,,,,,,
47,2018-03-30,Falcon 9,,,Unknown Pad,None None,2,True,True,True,,,,,,
48,2018-04-02,Falcon 9,,,Unknown Pad,None None,2,True,True,True,,,,,,
49,2018-04-18,Falcon 9,,,Unknown Pad,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,,,,,
50,2018-05-11,Falcon 9,,,Unknown Pad,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,,,,,
51,2018-06-04,Falcon 9,,,Unknown Pad,None None,2,False,True,False,,,,,,
52,2018-06-29,Falcon 9,,,Unknown Pad,None None,2,False,True,False,,,,,,
53,2018-07-22,Falcon 9,,,Unknown Pad,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,,,,,
54,2018-07-25,Falcon 9,,,Unknown Pad,True ASDS,1,True,False,True,5e9e3033383ecbb9e534e7cc,,,,,
55,2018-08-07,Falcon 9,,,Unknown Pad,True ASDS,2,True,True,True,5e9e3032383ecb6bb234e7ca,,,,,
56,2018-09-10,Falcon 9,,,Unknown Pad,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,,,,,
57,2018-10-08,Falcon 9,,,Unknown Pad,True RTLS,2,True,True,True,5e9e3032383ecb554034e7c9,,,,,
58,2018-11-15,Falcon 9,,,Unknown Pad,True ASDS,2,True,True,True,5e9e3032383ecb6bb234e7ca,,,,,
59,2018-12-03,Falcon 9,,,Unknown Pad,True ASDS,3,True,True,True,5e9e3033383ecbb9e534e7cc,,,,,
60,2018-12-05,Falcon 9,,,Unknown Pad,False RTLS,1,True,False,True,5e9e3032383ecb267a34e7c7,,,,,
61,2018-12-23,Falcon 9,,,Unknown Pad,None None,1,False,False,False,,,,,,
62,2019-01-11,Falcon 9,,,Unknown Pad,True ASDS,2,True,True,True,5e9e3033383ecbb9e534e7cc,,,,,
63,2019-03-02,Falcon 9,,,Unknown Pad,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,,,,,
64,2019-05-04,Falcon 9,,,Unknown Pad,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,,,,,
65,2019-05-24,Falcon 9,,,Unknown Pad,True ASDS,3,True,True,True,5e9e3032383ecb6bb234e7ca,,,,,
66,2019-06-12,Falcon 9,,,Unknown Pad,True RTLS,2,True,True,True,5e9e3032383ecb554034e7c9,,,,,
67,2019-07-25,Falcon 9,,,Unknown Pad,True RTLS,2,True,True,True,5e9e3032383ecb267a34e7c7,,,,,
68,2019-08-06,Falcon 9,,,Unknown Pad,None None,3,False,True,False,,,,,,
